"","studyid","workflowid","threshold","numerator","denominator","log_denominator","gsm_analysis_date"
"1","AA-AA-000-0000","cou0001",-3,368.084818556314,115225.14,11.6546432326021,"2019-12-01"
"2","AA-AA-000-0000","cou0001",-3,376.517495148149,117262,11.6721660264874,"2019-12-01"
"3","AA-AA-000-0000","cou0001",-3,384.966682189614,119298.86,11.6893870522985,"2019-12-01"
"4","AA-AA-000-0000","cou0001",-3,393.431958600342,121335.72,11.706316528087,"2019-12-01"
"5","AA-AA-000-0000","cou0001",-3,401.91292089998,123372.58,11.7229641615485,"2019-12-01"
"6","AA-AA-000-0000","cou0001",-3,410.4091821952,125409.44,11.7393391834545,"2019-12-01"
"7","AA-AA-000-0000","cou0001",-3,418.920371240468,127446.3,11.7554503783903,"2019-12-01"
"8","AA-AA-000-0000","cou0001",-3,427.446131566105,129483.16,11.7713061130559,"2019-12-01"
"9","AA-AA-000-0000","cou0001",-3,435.986120667833,131520.02,11.7869143623581,"2019-12-01"
"10","AA-AA-000-0000","cou0001",-3,444.540009252604,133556.88,11.8022827334972,"2019-12-01"
"11","AA-AA-000-0000","cou0001",-3,453.107480535993,135593.74,11.817418488231,"2019-12-01"
"12","AA-AA-000-0000","cou0001",-3,461.688229586919,137630.6,11.8323285634787,"2019-12-01"
"13","AA-AA-000-0000","cou0001",-3,470.281962715845,139667.46,11.847019590411,"2019-12-01"
"14","AA-AA-000-0000","cou0001",-3,478.888396903002,141704.32,11.8614979121583,"2019-12-01"
"15","AA-AA-000-0000","cou0001",-3,487.507259263453,143741.18,11.8757696002555,"2019-12-01"
"16","AA-AA-000-0000","cou0001",-3,496.138286546167,145778.04,11.8898404699288,"2019-12-01"
"17","AA-AA-000-0000","cou0001",-3,504.781224664475,147814.9,11.903716094323,"2019-12-01"
"18","AA-AA-000-0000","cou0001",-3,513.435828255551,149851.76,11.9174018177542,"2019-12-01"
"19","AA-AA-000-0000","cou0001",-3,522.101860266745,151888.62,11.9309027680684,"2019-12-01"
"20","AA-AA-000-0000","cou0001",-3,530.779091566803,153925.48,11.9442238681764,"2019-12-01"
"21","AA-AA-000-0000","cou0001",-3,539.467300580164,155962.34,11.9573698468311,"2019-12-01"
"22","AA-AA-000-0000","cou0001",-3,548.166272942681,157999.2,11.9703452487051,"2019-12-01"
"23","AA-AA-000-0000","cou0001",-3,556.87580117725,160036.06,11.9831544438228,"2019-12-01"
"24","AA-AA-000-0000","cou0001",-3,565.595684387965,162072.92,11.9958016363961,"2019-12-01"
"25","AA-AA-000-0000","cou0001",-3,574.325727971516,164109.78,12.0082908731085,"2019-12-01"
"26","AA-AA-000-0000","cou0001",-3,583.065743344653,166146.64,12.0206260508879,"2019-12-01"
"27","AA-AA-000-0000","cou0001",-3,591.815547686651,168183.5,12.0328109242061,"2019-12-01"
"28","AA-AA-000-0000","cou0001",-3,600.574963695757,170220.36,12.0448491119388,"2019-12-01"
"29","AA-AA-000-0000","cou0001",-3,609.343819358724,172257.22,12.0567441038175,"2019-12-01"
"30","AA-AA-000-0000","cou0001",-3,618.121947732568,174294.08,12.0684992665022,"2019-12-01"
"31","AA-AA-000-0000","cou0001",-3,626.909186737773,176330.94,12.0801178493014,"2019-12-01"
"32","AA-AA-000-0000","cou0001",-3,635.705378962211,178367.8,12.0916029895636,"2019-12-01"
"33","AA-AA-000-0000","cou0001",-3,644.510371475113,180404.66,12.1029577177626,"2019-12-01"
